,ID,Nationality,Age,Position,Height,Weight
453,206413,Ukraine,28,RDM,155.7528,76.19047619047619
454,205988,England,22,LB,155.7528,74.82993197278911
455,205705,Morocco,28,CB,192.024,82.99319727891157
456,205693,France,24,RS,192.024,91.156462585034
457,205525,Brazil,25,LM,167.64000000000001,59.86394557823129
458,205114,Japan,30,LM,173.73600000000002,63.038548752834465
459,205070,Spain,26,RM,155.44799999999998,69.84126984126983
460,204529,Belgium,24,ST,185.928,78.00453514739229
461,204399,Israel,30,LS,182.88,71.20181405895691
462,204120,Czech Republic,29,GK,188.976,84.80725623582767
463,203841,England,26,GK,204.216,76.19047619047619
464,203747,Spain,23,RB,155.44799999999998,73.92290249433107
465,203605,Czech Republic,26,RWB,182.88,81.17913832199547
466,203042,England,25,GK,198.12,94.7845804988662
467,202849,Denmark,25,CB,201.16799999999998,97.95918367346938
468,202695,England,25,RCB,195.072,81.17913832199547
469,202477,Spain,24,RS,155.44799999999998,73.01587301587301
470,202335,England,24,CDM,188.976,89.79591836734694
471,201377,Colombia,26,LCB,182.88,78.00453514739229
472,201144,Croatia,29,CDM,185.928,79.81859410430839
473,201119,Brazil,28,LB,155.44799999999998,82.08616780045351
474,200536,Germany,25,LWB,155.7528,78.00453514739229
475,200458,France,24,LB,155.44799999999998,73.92290249433107
476,200318,Germany,26,ST,185.928,72.10884353741497
477,200315,Spain,26,LM,155.44799999999998,64.85260770975056
478,199206,Croatia,29,LCB,182.88,76.19047619047619
479,199110,Colombia,27,ST,155.44799999999998,78.91156462585033
480,199069,Cameroon,26,ST,182.88,82.08616780045351
481,198784,England,24,CM,179.83200000000002,69.84126984126983
482,197853,Ivory Coast,25,RB,179.83200000000002,76.19047619047619
483,197061,Cameroon,26,CB,195.072,89.79591836734694
484,195861,Ukraine,28,LCB,185.928,82.99319727891157
485,194879,Spain,28,RS,155.7528,77.09750566893423
486,194794,Ukraine,28,RM,192.024,82.99319727891157
487,194229,Spain,27,RB,179.83200000000002,72.10884353741497
488,194022,Portugal,27,RB,185.928,79.81859410430839
489,193886,Germany,28,CAM,155.7528,77.09750566893423
490,193352,Switzerland,25,LB,155.7528,77.09750566893423
491,193061,Argentina,27,LM,182.88,77.09750566893423
492,192789,Spain,27,RB,182.88,73.92290249433107
493,191687,Brazil,29,CB,192.024,88.88888888888889
